DATE,LOCATION,TAVRG,TMIN,TMAX
19180623,146,-999,999,-999
19180629,146,-999,999,-999
19180630,146,-999,999,-999
19180701,146,-999,999,-999
19180718,146,-999,999,-999
19180725,146,-999,999,-999
19180726,146,-999,999,-999
19180729,146,-999,999,-999
19180807,146,-999,999,35.1
19180813,146,-999,999,-999
19180817,146,-999,999,-999
19180819,146,-999,999,-999
19180823,146,-999,999,-999
19180904,146,-999,999,-999
19180905,146,-999,999,-999
19180906,146,-999,999,30.9
19180915,146,-999,999,-999
19180924,146,-999,999,-999
19181004,146,-999,999,-999
19181010,146,-999,999,-999
19181017,146,-999,999,24.6
19181023,146,-999,999,-999
19181101,146,-999,999,-999
19181102,146,-999,999,-999
19181105,146,-999,999,-999
19181117,146,-999,999,-999
19181205,146,-999,999,10.9
19181211,146,-999,999,-999
19181227,146,-999,999,-999
19190101,146,2.5,-2.9,9.2
19190102,146,-6.6,-9,-2.4
19190103,146,-4.8,-8.7,0.2
19190104,146,-4.4,-9.1,-0.2
19190105,146,-8.1,-11.4,-3.3
19190106,146,-4.4,-12.6,2
19190107,146,4.4,-5.3,8.5
19190108,146,11,7.7,14.8
19190109,146,8.3,5.6,10.8
19190110,146,7.6,4.9,10.5
19190111,146,6.5,1.2,12.2
19190112,146,0.8,-3.2,6.9
19190113,146,-5.1,-7.2,-2.2
19190114,146,-3.5,-8.5,0.9
19190115,146,-0.7,-3,3.7
19190116,146,-1.2,-5.5,4.5
19190117,146,0.5,-3.7,5.7
19190118,146,2.7,-0.3,7.2
19190119,146,-6.8,-9.6,-0.1
19190120,146,-10.2,-13.3,-6.1
19190121,146,-9.1,-12.2,-6.7
19190122,146,-3.7,-9.1,-0.1
19190123,146,0.1,-5.5,3.3
19190124,146,1.8,-0.2,3.1
19190125,146,1.2,0,4.2
19190126,146,-1.5,-3,1.1
19190127,146,-4.1,-6.1,-1
19190128,146,-4.8,-10.1,-1.3
19190129,146,-1.8,-4.4,1.3
19190130,146,-4.5,-7.3,-1.6
19190131,146,-4.6,-7.6,-1.7
19190201,146,-3.1,-8.2,0.3
19190202,146,-2.4,-4,-0.5
19190203,146,-4,-6.5,-1.1
19190204,146,-10.1,-12.4,-5.7
19190205,146,-6.9,-14.2,-2.1
19190206,146,-2.2,-9.2,2.5
19190207,146,-1,-3.5,2.3
19190208,146,-3.4,-5.9,1.9
19190209,146,-3.2,-7.7,-0.1
19190210,146,-4.2,-6.5,-0.7
19190211,146,-0.5,-7.5,5.6
19190212,146,-4,-9.5,1.8
19190213,146,0.6,-6.8,7.3
19190214,146,0.7,-4.4,6.9
19190215,146,3.2,-2.9,10.4
19190216,146,4.6,-1.3,12.9
19190217,146,4.2,-2.1,12.3
19190218,146,0.2,-2.7,3.6
19190219,146,0.7,-2.6,4.3
19190220,146,-0.3,-5.4,5.6
19190221,146,3.3,-3.6,10
19190222,146,2.3,-2.3,8.5
19190223,146,2.9,-3.8,11.1
19190224,146,1.4,-2.1,5.4
19190225,146,0.1,-6.3,7.7
19190226,146,5.3,-0.5,12
19190227,146,10.1,3.8,15
19190228,146,5.3,1.4,11.4
19190301,146,7,-2,15.1
19190302,146,6.6,2.1,14.7
19190303,146,5.7,0.7,11.8
19190304,146,7,-0.5,15.7
19190305,146,8.8,1,18.6
19190306,146,7,4,10.3
19190307,146,9.1,0.7,16
19190308,146,11.7,9.6,14.7
19190309,146,3.7,-0.1,12
19190310,146,0,-3.4,4.4
19190311,146,3.2,-4.8,9.3
19190312,146,3.2,1,6.7
19190313,146,0.4,-4.3,6.5
19190314,146,4.9,-2.1,9.9
19190315,146,2.4,0.6,7.1
19190316,146,3.4,-3.7,10.4
19190317,146,10.1,3.2,18.3
19190318,146,10.1,3,19.9
19190319,146,6.3,0.6,10.9
19190320,146,5.3,-2.7,14.3
19190321,146,12.5,2.5,19.9
19190322,146,12.8,6.6,21.9
19190323,146,13.1,6.6,20.2
19190324,146,12.6,6.9,20.2
19190325,146,2.8,-2.4,10.1
19190326,146,1.6,-3.8,7
19190327,146,5.4,1.5,9.7
19190328,146,2.5,-1,6.7
19190329,146,1.1,-3.7,7
19190330,146,2,-2,8
19190331,146,4.2,-2.4,9
19190401,146,10.4,2.1,18.3
19190402,146,12.9,9.3,19.4
19190403,146,13.8,6.7,19.7
19190404,146,11.3,7.3,16.7
19190405,146,10.1,2.4,20.1
19190406,146,10.5,6.7,16.8
19190407,146,12,3.5,19.8
19190408,146,10.9,5.5,19.5
19190409,146,13.1,4.2,21.6
19190410,146,7.8,4.2,14.2
19190411,146,7,2.6,13
19190412,146,9.1,-0.6,19.9
19190413,146,11.3,5.7,16.5
19190414,146,13,9.4,17
19190415,146,9.5,5.7,16.6
19190416,146,10.7,2.2,18.8
19190417,146,10.6,6.1,18.1
19190418,146,11.1,1.4,21.5
19190419,146,10.2,6.4,17.4
19190420,146,9.3,-0.3,21
19190421,146,15,6.7,17.8
19190422,146,8.5,4.2,16.4
19190423,146,9.2,1.4,16.6
19190424,146,12.2,7.9,18.1
19190425,146,12,2.7,21
19190426,146,13.3,7.8,19.3
19190427,146,10.3,2.4,19.7
19190428,146,12.8,3,24
19190429,146,14.6,7.1,21.5
19190430,146,16.5,13.1,23
19190501,146,15.3,9.8,23.6
19190502,146,8.1,4.8,15.8
19190503,146,9.1,5.2,15.4
19190504,146,16.2,5.6,22.7
19190505,146,18.9,13.2,24.7
19190506,146,19.9,16.1,24.3
19190507,146,21.1,18.4,24.7
19190508,146,23.9,19.7,29.8
19190509,146,22.2,18.9,26.7
19190510,146,21,19.6,24.5
19190511,146,14.9,13.4,19.9
19190512,146,13.7,5.7,22.3
19190513,146,14.1,10.8,19.6
19190514,146,13.6,7.2,21
19190515,146,12.1,6.3,20.2
19190516,146,16.6,5.9,22.3
19190517,146,18.3,14.5,23.2
19190518,146,18.2,12.3,25.8
19190519,146,19.7,12.2,26.6
19190520,146,19.5,15.9,24.9
19190521,146,13.7,12.3,16.8
19190522,146,13.1,7.6,19.8
19190523,146,14.2,6.3,23.5
19190524,146,16.6,12,22
19190525,146,14.3,6,23.8
19190526,146,18.2,10.7,26.5
19190527,146,17.8,10.8,27.1
19190528,146,19.9,11.9,28.6
19190529,146,22.2,17,28.2
19190530,146,23.1,18,30.4
19190531,146,21,18,26.6
19190601,146,23,17.5,29
19190602,146,20.1,16.7,25.6
19190603,146,21.5,16.8,28.4
19190604,146,19.9,17.1,23.7
19190605,146,20.7,15.5,26.6
19190606,146,23.5,16.8,30.8
19190607,146,25.3,19,32.5
19190608,146,25.3,20.4,31.8
19190609,146,25.1,22.8,28.8
19190610,146,23.5,21.1,30
19190611,146,24,18.8,29.5
19190612,146,19.1,16.8,24.1
19190613,146,19.1,15.6,24.2
19190614,146,19.8,15,24.6
19190615,146,21.3,17.3,27.3
19190616,146,20.4,18.3,22.5
19190617,146,20.3,18.5,23.7
19190618,146,21.5,18.8,26.1
19190619,146,22.5,19.1,26.9
19190620,146,21.5,17.5,27.3
19190621,146,20.5,19.2,22.5
19190622,146,19.9,18.7,23.5
19190623,146,21.2,17.9,26.7
19190624,146,22.2,19.4,27.4
19190625,146,22.3,17,29.2
19190626,146,23.3,19.6,27.4
19190627,146,23.3,19.9,28.6
19190628,146,23.3,20.6,28.8
19190629,146,23.2,19.8,29.8
19190630,146,22.6,17.3,28.9
19190701,146,24,21,31.1
19190702,146,24.4,20.8,28
19190703,146,23.2,20.3,25.7
19190704,146,25,21.9,28.5
19190705,146,25.5,23.6,27.5
19190706,146,25.8,23.6,28.5
19190707,146,23.3,21.7,27.3
19190708,146,22.9,21,27.1
19190709,146,21.5,16.7,27.7
19190710,146,23,16,29
19190711,146,24.4,18.5,28.8
19190712,146,25.5,22.8,29.6
19190713,146,26.4,21.3,30.5
19190714,146,26.9,24.2,33.6
19190715,146,25.2,21.6,30.9
19190716,146,26.3,21.8,31.6
19190717,146,25.8,23.3,30.7
19190718,146,25.6,22.7,31.9
19190719,146,26.3,22,32.4
19190720,146,26.2,23.2,31.6
19190721,146,25.8,21.5,30.5
19190722,146,25.8,21.5,31.9
19190723,146,25.5,21.2,30.8
19190724,146,26.9,21.9,32.6
19190725,146,28.4,23.9,33
19190726,146,27.1,22.8,32.5
19190727,146,25.9,22.9,31.8
19190728,146,26.1,22.2,31.6
19190729,146,23.3,17.5,31.1
19190730,146,24.7,17.4,33.1
19190731,146,28.3,21.2,34.4
19190801,146,29.2,24,34
19190802,146,28.8,25.9,32.4
19190803,146,25.5,24,28.6
19190804,146,25.6,23.2,28.4
19190805,146,25.3,19.6,32.1
19190806,146,25.8,21.7,31.7
19190807,146,24.3,16.8,31.1
19190808,146,24.3,17.7,32.1
19190809,146,26.8,21,32.4
19190810,146,26.5,22.6,33
19190811,146,26.9,21.5,33.6
19190812,146,28.4,24.7,34.1
19190813,146,28.7,20.8,35.3
19190814,146,28.3,22.8,34.4
19190815,146,26.7,23.3,30.7
19190816,146,22.4,20.4,26.1
19190817,146,22.6,19.4,28
19190818,146,21.8,16,29.1
19190819,146,24.3,18.6,31.8
19190820,146,24.9,20.5,31.5
19190821,146,24.2,19.4,30.7
19190822,146,24.6,22,28.6
19190823,146,25.1,21.1,30.7
19190824,146,26.5,21.5,33.1
19190825,146,25.6,20.9,33
19190826,146,23.4,21.7,28
19190827,146,25.9,23.3,29.8
19190828,146,26.3,22.7,31.3
19190829,146,26.1,23.1,30.5
19190830,146,24.6,21,28.9
19190831,146,22.3,17.3,27.4
19190901,146,22.7,20.4,25.7
19190902,146,26,20.5,29.9
19190903,146,26,23.6,28.2
19190904,146,24.5,21.9,28.7
19190905,146,22,21,26.8
19190906,146,21.9,18,27.1
19190907,146,19,13.4,26.1
19190908,146,22.9,16.2,27.7
19190909,146,21.9,19.8,25.9
19190910,146,21.4,19.4,25.3
19190911,146,21.4,17.1,27
19190912,146,19,12.7,25.8
19190913,146,17.6,10.5,24.1
19190914,146,16.7,14.3,19.7
19190915,146,18,16.4,20.1
19190916,146,16.4,12.8,21.8
19190917,146,14.1,8.9,22.8
19190918,146,14.4,9.4,24.8
19190919,146,16.4,11.1,26.2
19190920,146,17.7,13.7,24
19190921,146,17.2,14.1,24.9
19190922,146,16.7,12.7,24.4
19190923,146,15.8,11.7,24.8
