"행정구역","2022년03월_계_총인구수","2022년03월_계_연령구간인구수","2022년03월_계_0~9세","2022년03월_계_10~19세","2022년03월_계_20~29세","2022년03월_계_30~39세","2022년03월_계_40~49세","2022년03월_계_50~59세","2022년03월_계_60~69세","2022년03월_계_70~79세","2022년03월_계_80~89세","2022년03월_계_90~99세","2022년03월_계_100세 이상","2022년03월_남_총인구수","2022년03월_남_연령구간인구수","2022년03월_남_0~9세","2022년03월_남_10~19세","2022년03월_남_20~29세","2022년03월_남_30~39세","2022년03월_남_40~49세","2022년03월_남_50~59세","2022년03월_남_60~69세","2022년03월_남_70~79세","2022년03월_남_80~89세","2022년03월_남_90~99세","2022년03월_남_100세 이상","2022년03월_여_총인구수","2022년03월_여_연령구간인구수","2022년03월_여_0~9세","2022년03월_여_10~19세","2022년03월_여_20~29세","2022년03월_여_30~39세","2022년03월_여_40~49세","2022년03월_여_50~59세","2022년03월_여_60~69세","2022년03월_여_70~79세","2022년03월_여_80~89세","2022년03월_여_90~99세","2022년03월_여_100세 이상"
"전라남도  (4600000000)","1,829,501","1,829,501","121,369","162,063","191,317","176,138","252,102","313,031","286,786","190,699","117,663","17,829","504","920,971","920,971","61,902","83,856","107,268","92,702","134,135","168,746","145,427","85,510","37,834","3,537","54","908,530","908,530","59,467","78,207","84,049","83,436","117,967","144,285","141,359","105,189","79,829","14,292","450"
"전라남도 목포시 (4611000000)","218,241","218,241","15,926","23,729","26,075","23,172","36,093","36,295","30,050","17,988","7,870","1,014","29","108,609","108,609","8,246","12,125","14,141","11,904","18,561","18,423","14,260","7,989","2,733","224","3","109,632","109,632","7,680","11,604","11,934","11,268","17,532","17,872","15,790","9,999","5,137","790","26"
"전라남도 여수시 (4613000000)","276,145","276,145","19,141","25,487","32,338","29,302","40,519","48,151","42,489","25,322","11,557","1,791","48","140,757","140,757","9,729","13,150","18,374","15,820","21,305","25,347","20,956","11,773","3,982","317","4","135,388","135,388","9,412","12,337","13,964","13,482","19,214","22,804","21,533","13,549","7,575","1,474","44"
"전라남도 순천시 (4615000000)","280,719","280,719","22,224","29,191","36,138","32,501","42,412","49,276","36,889","19,434","10,872","1,726","56","140,136","140,136","11,391","15,162","19,725","16,767","20,895","24,851","18,486","8,876","3,629","351","3","140,583","140,583","10,833","14,029","16,413","15,734","21,517","24,425","18,403","10,558","7,243","1,375","53"
"전라남도 나주시 (4617000000)","116,497","116,497","9,637","9,633","11,983","14,267","16,792","17,525","17,136","11,317","7,076","1,101","30","58,799","58,799","4,969","4,947","6,322","7,434","9,223","9,645","8,777","5,048","2,193","236","5","57,698","57,698","4,668","4,686","5,661","6,833","7,569","7,880","8,359","6,269","4,883","865","25"
"전라남도 광양시 (4623000000)","151,410","151,410","12,537","15,577","19,288","18,124","23,194","29,734","18,688","8,458","4,908","880","22","79,104","79,104","6,369","8,090","11,221","9,730","12,062","16,122","9,841","3,941","1,583","145","0","72,306","72,306","6,168","7,487","8,067","8,394","11,132","13,612","8,847","4,517","3,325","735","22"
"전라남도 담양군 (4671000000)","46,208","46,208","2,137","2,980","4,439","3,516","5,095","8,224","8,843","6,104","4,207","636","27","23,421","23,421","1,040","1,541","2,617","1,812","2,892","4,560","4,634","2,798","1,377","147","3","22,787","22,787","1,097","1,439","1,822","1,704","2,203","3,664","4,209","3,306","2,830","489","24"
"전라남도 곡성군 (4672000000)","27,432","27,432","950","1,822","2,120","1,592","2,859","4,731","5,324","4,071","3,348","600","15","13,505","13,505","491","993","1,162","839","1,582","2,640","2,834","1,798","1,054","109","3","13,927","13,927","459","829","958","753","1,277","2,091","2,490","2,273","2,294","491","12"
"전라남도 구례군 (4673000000)","25,130","25,130","1,015","1,739","1,818","1,453","2,715","4,517","4,953","3,717","2,773","419","11","12,233","12,233","486","908","1,036","741","1,454","2,506","2,516","1,599","900","86","1","12,897","12,897","529","831","782","712","1,261","2,011","2,437","2,118","1,873","333","10"
"전라남도 고흥군 (4677000000)","62,527","62,527","2,338","3,624","3,772","3,331","5,922","9,932","13,012","11,271","7,878","1,402","45","30,465","30,465","1,158","1,961","2,217","1,786","3,411","5,640","6,541","4,946","2,510","288","7","32,062","32,062","1,180","1,663","1,555","1,545","2,511","4,292","6,471","6,325","5,368","1,114","38"
